
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Johnny Hekker*+,STL,25,p,16,0,,,,,,,,,,,,,,,,,96,4601,68,0,47.9
2,Graham Gano,CAR,28,k,16,0,1,1,10,10,5,4,16,13,4,2,36,30,83.3%,59,56,94.9%,,,,,
3,Shane Lechler,HOU,39,p,16,0,,,,,,,,,,,,,,,,,95,4497,64,0,47.3
4,Matt Darr,MIA,23,p,16,0,,,,,,,,,,,,,,,,,92,4380,70,0,47.6
5,Bradley Pinion,SFO,21,p,16,0,,,,,,,,,,,,,,,,,91,3969,62,0,43.6
6,Chandler Catanzaro,ARI,24,k,16,0,1,1,12,12,9,9,7,6,2,,31,28,90.3%,58,53,91.4%,,,,,
7,Stephen Gostkowski*+,NWE,31,k,16,0,,,6,6,11,11,14,12,5,4,36,33,91.7%,52,52,100.0%,,,,,
8,Brett Kern,TEN,29,p,16,0,,,,,,,,,,,,,,,,,88,4175,61,0,47.4
9,Donnie Jones,PHI,35,p,16,0,,,,,,,,,,,,,,,,,86,4038,64,2,47.0
10,Pat McAfee,IND,28,p,16,0,,,,,,,,,,,,,,,,,85,4052,63,0,47.7
11,Britton Colquitt,DEN,30,p,16,0,,,,,,,,,,,,,,,,,84,3663,62,0,43.6
12,Marquette King,OAK,27,p,16,0,,,,,,,,,,,,,,,,,83,3697,70,1,44.5
13,Colton Schmidt,BUF,25,p,16,0,,,,,,,,,,,,,,,,,82,3802,65,0,46.4
14,Tim Masthay,GNB,28,p,16,0,,,,,,,,,,,,,,,,,81,3554,62,0,43.9
15,Bryan Anger,JAX,27,p,16,0,,,,,,,,,,,,,,,,,80,3700,63,0,46.3
16,Sam Martin,DET,25,p,16,0,,,,,,,,,,,,,,,,,80,3679,66,0,46.0
17,Ryan Quigley,NYJ,25,p,15,0,,,,,,,,,,,,,,4,4,100.0%,75,3287,68,1,43.8
18,Cairo Santos,KAN,24,k,16,0,,,8,7,10,10,11,9,8,4,37,30,81.1%,41,39,95.1%,,,,,
19,Josh Brown*,NYG,36,k,16,0,1,1,6,6,12,12,10,8,3,3,32,30,93.8%,45,44,97.8%,,,,,
20,Mike Nugent,CIN,33,k,16,0,,,6,6,6,5,13,10,3,2,28,23,82.1%,49,48,98.0%,,,,,
21,Blair Walsh,MIN,25,k,16,0,,,9,9,15,13,7,6,8,6,39,34,87.2%,37,33,89.2%,,,,,
22,Brad Wing,NYG,24,p,16,0,,,,,,,,,,,,,,,,,76,3380,64,0,44.5
23,Dustin Colquitt,KAN,33,p,16,0,,,,,,,,,,,,,,,,,75,3333,62,0,44.4
24,Steven Hauschka,SEA,30,k,16,0,,,9,9,7,7,9,7,6,6,31,29,93.5%,44,40,90.9%,,,,,
25,Sam Koch*,BAL,33,p,16,0,,,,,,,,,,,,,,,,,74,3454,67,0,46.7
26,Ryan Allen,NWE,25,p,16,0,,,,,,,,,,,,,,,,,73,3358,67,1,46.0
27,Brandon McManus,DEN,24,k,16,0,,,12,12,8,8,8,5,7,5,35,30,85.7%,36,35,97.2%,1,41,41,0,41.0
28,Mike Scifres,SDG,35,p,16,0,,,,,,,,,,,,,,,,,72,3261,68,1,45.3
29,Andy Lee,CLE,33,p,16,0,,,,,,,,,,,,,,,,,70,3270,67,0,46.7
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
30,Brad Nortman,CAR,26,p,16,0,,,,,,,,,,,,,,,,,70,3175,65,0,45.4
31,Pat O'Donnell,CHI,24,p,15,0,,,,,,,,,,,,,,,,,70,3097,72,1,44.2
32,Tress Way,WAS,25,p,16,0,,,,,,,,,,,,,,,,,70,3224,64,1,46.1
33,Chris Jones,DAL,26,p,16,0,,,,,,,,,,,,,,,,,69,3114,61,0,45.1
34,Jason Myers,JAX,24,k,16,0,,,10,9,8,8,8,6,4,3,30,26,86.7%,39,32,82.1%,,,,,
35,Justin Tucker,BAL,26,k,16,0,,,10,10,9,9,11,10,10,4,40,33,82.5%,29,29,100.0%,,,,,
36,Robbie Gould,CHI,34,k,16,0,1,1,8,8,12,10,9,7,9,7,39,33,84.6%,29,28,96.6%,,,,,
37,Dustin Hopkins,WAS,25,k,15,0,,,7,7,9,9,8,7,4,2,28,25,89.3%,40,39,97.5%,,,,,
38,Kevin Huber,CIN,30,p,16,0,,,,,,,,,,,,,,,,,68,3116,67,1,45.8
39,Jon Ryan,SEA,34,p,16,0,,,,,,,,,,,,,,,,,68,3093,70,0,45.5
40,Dan Carpenter,BUF,30,k,16,0,,,5,5,9,8,8,7,5,3,27,23,85.2%,40,34,85.0%,,,,,
41,Jeff Locke,MIN,26,p,16,0,,,,,,,,,,,,,,,,,66,2746,61,0,41.6
42,Sebastian Janikowski,OAK,37,k,16,0,,,7,7,6,5,8,5,5,4,26,21,80.8%,39,38,97.4%,,,,,
43,Mason Crosby,GNB,31,k,16,0,1,1,7,7,4,4,11,8,5,4,28,24,85.7%,36,36,100.0%,,,,,
44,Josh Lambo,SDG,25,k,16,0,,,4,4,7,7,16,11,5,4,32,26,81.3%,32,28,87.5%,,,,,
