
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Stephen Gostkowski*+,NWE,31,k,16,0,,,,,,,,,,,52,52,33,36,,151,
2,Graham Gano,CAR,28,k,16,0,,,,,,,,,,,56,59,30,36,,146,
3,Chandler Catanzaro,ARI,24,k,16,0,,,,,,,,,,,53,58,28,31,,137,
4,Blair Walsh,MIN,25,k,16,0,,,,,,,,,,,33,37,34,39,,135,
5,Josh Brown*,NYG,36,k,16,0,,,,,,,,,,,44,45,30,32,,134,
6,Cairo Santos,KAN,24,k,16,0,,,,,,,,,,,39,41,30,37,,129,
7,Justin Tucker,BAL,26,k,16,0,,,,,,,,,,,29,29,33,40,,128,
8,Robbie Gould,CHI,34,k,16,0,,,,,,,,,,,28,29,33,39,,127,
9,Steven Hauschka,SEA,30,k,16,0,,,,,,,,,,,40,44,29,31,,127,
10,Brandon McManus,DEN,24,k,16,0,,,,,,,,,,,35,36,30,35,,125,
11,Mike Nugent,CIN,33,k,16,0,,,,,,,,,,,48,49,23,28,,117,
12,Dan Bailey*,DAL,27,k,16,0,,,,,,,,,,,25,25,30,32,,115,
13,Dustin Hopkins,WAS,25,k,15,0,,,,,,,,,,,39,40,25,28,,114,
14,Chris Boswell,PIT,24,k,12,0,,,,,,,,,,,26,27,29,32,,113,
15,Jason Myers,JAX,24,k,16,0,,,,,,,,,,,32,39,26,30,,110,
16,Mason Crosby,GNB,31,k,16,0,,,,,,,,,,,36,36,24,28,,108,
17,Adam Vinatieri,IND,43,k,16,0,,,,,,,,,,,32,35,25,27,,107,
18,Travis Coons,CLE,23,k,16,0,,,,,,,,,,,22,24,28,32,,106,
19,Josh Lambo,SDG,25,k,16,0,,,,,,,,,,,28,32,26,32,,106,
20,Dan Carpenter,BUF,30,k,16,0,,,,,,,,,,,34,40,23,27,,103,
21,Matt Prater,DET,31,k,16,0,,,,,,,,,,,36,39,22,24,,102,
22,Sebastian Janikowski,OAK,37,k,16,0,,,,,,,,,,,38,39,21,26,,101,
23,Connor Barth,TAM,29,k,12,0,,,,,,,,,,,25,26,23,28,,94,
24,Phil Dawson,SFO,40,k,16,0,,,,,,,,,,,20,21,24,27,,92,
25,Caleb Sturgis,PHI,26,k,13,0,,,,,,,,,,,35,37,18,22,,89,
26,Greg Zuerlein,STL,28,k,14,0,,,,,,,,,,,26,28,20,30,,86,
27,Doug Baldwin,SEA,27,WR,16,16,,14,,,,,,14,,,,,,,,84,
28,Devonta Freeman*,ATL,23,RB,15,13,11,3,,,,,,14,,,,,,,,84,
29,Brandon Marshall*,NYJ,31,WR,16,16,,14,,,,,,14,,,,,,,,84,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
30,Allen Robinson*,JAX,22,WR,16,16,,14,,,,,,14,,,,,,,,84,
31,Nick Novak,HOU,34,k,13,0,,,,,,,,,,,29,31,18,21,,83,
32,Randy Bullock,2TM,26,,11,0,,,,,,,,,,,22,25,19,23,,79,
33,Odell Beckham*,NYG,23,WR,15,15,,13,,,,,,13,,,,,,,,78,
34,Tyler Eifert*,CIN,25,TE,13,12,,13,,,,,,13,,,,,,,,78,
35,David Johnson,ARI,24,rb,16,5,8,4,,1,,,,13,,,,,,,,78,
36,Jeremy Hill,CIN,23,RB,16,15,11,1,,,,,,12,1,,,,,,,74,
37,Eric Decker,NYJ,28,WR,15,13,,12,,,,,,12,,,,,,,,72,
38,Andrew Franks,MIA,22,k,16,0,,,,,,,,,,,33,36,13,16,,72,
39,Ryan Succop,TEN,29,k,16,0,,,,,,,,,,,29,31,14,16,,71,
40,Antonio Brown*+,PIT,27,WR,16,16,,10,1,,,,,11,2,,,,,,,70,
41,Matt Bryant,ATL,40,k,11,0,,,,,,,,,,,26,26,14,18,,68,
42,DeAndre Hopkins*,HOU,23,WR,16,16,,11,,,,,,11,1,,,,,,,68,
43,DeAngelo Williams,PIT,32,RB,16,10,11,,,,,,,11,1,,,,,,,68,
44,Rob Gronkowski*+,NWE,26,TE,15,15,,11,,,,,,11,,,,,,,,66,
45,Adrian Peterson*+,MIN,30,RB,16,16,11,,,,,,,11,,,,,,,,66,
46,Jordan Reed,WAS,25,te,14,9,,11,,,,,,11,,,,,,,,66,
47,Kai Forbath,2TM,28,,11,0,,,,,,,,,,,34,35,10,15,,64,
48,Tavon Austin,STL,24,WR,16,14,4,5,1,,,,,10,,,,,,,,60,
49,Ted Ginn,CAR,30,WR,15,13,,10,,,,,,10,,,,,,,,60,
50,A.J. Green*,CIN,27,WR,16,16,,10,,,,,,10,,,,,,,,60,
51,Todd Gurley*,STL,21,RB,13,12,10,,,,,,,10,,,,,,,,60,
52,Allen Hurns,JAX,24,WR,15,14,,10,,,,,,10,,,,,,,,60,
53,Lamar Miller,MIA,24,RB,16,16,8,2,,,,,,10,,,,,,,,60,
54,Cam Newton*+,CAR,26,QB,16,16,10,,,,,,,10,,,,,,,,60,
55,Nick Folk,NYJ,31,k,8,0,,,,,,,,,,,19,19,13,16,,58,
56,Gary Barnidge*,CLE,30,TE,16,13,,9,,,,,,9,,,,,,,,54,
57,Brandin Cooks,NOR,22,WR,16,13,,9,,,,,,9,,,,,,,,54,
58,Michael Crabtree,OAK,28,WR,16,15,,9,,,,,,9,,,,,,,,54,
59,Larry Fitzgerald*,ARI,32,WR,16,16,,9,,,,,,9,,,,,,,,54,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
60,Calvin Johnson*,DET,30,WR,16,16,,9,,,,,,9,,,,,,,,54,
61,Julio Jones*+,ATL,26,WR,16,16,,8,,,1,,,9,,,,,,,,54,
62,Sammy Watkins,BUF,22,WR,13,13,,9,,,,,,9,,,,,,,,54,
63,Karlos Williams,BUF,22,rb,11,3,7,2,,,,,,9,,,,,,,,54,
64,Danny Woodhead,SDG,30,rb,16,1,3,6,,,,,,9,,,,,,,,54,
65,James Jones,GNB,31,WR,16,15,,8,,,,,,8,2,,,,,,,52,
66,Richard Rodgers,GNB,23,TE,16,12,,8,,,,,,8,1,,,,,,,50,
67,Chris Ivory*,NYJ,27,RB,15,14,7,1,,,,,,8,,,,,,,,48,
68,Tyler Lockett*+,SEA,23,wr,16,8,,6,1,1,,,,8,,,,,,,,48,
69,Jeremy Maclin,KAN,27,WR,15,15,,8,,,,,,8,,,,,,,,48,
70,Jordan Matthews,PHI,23,WR,16,13,,8,,,,,,8,,,,,,,,48,
71,Rueben Randle,NYG,24,WR,16,16,,8,,,,,,8,,,,,,,,48,
72,Matt Forte,CHI,30,RB,13,13,4,3,,,,,,7,1,,,,,,,44,
73,Jeremy Langford,CHI,24,rb,16,2,6,1,,,,,,7,1,,,,,,,44,
74,LeGarrette Blount,NWE,29,rb,12,6,6,1,,,,,,7,,,,,,,,42,
75,John Brown,ARI,25,WR,15,11,,7,,,,,,7,,,,,,,,42,
76,Martavis Bryant,PIT,24,wr,11,5,1,6,,,,,,7,,,,,,,,42,
77,Randall Cobb,GNB,25,WR,16,15,,6,,,1,,,7,,,,,,,,42,
